_url,birth_year,weight,height,nationality
timofey-kritskiy,1987.0,81.0,190.0,Russia
john-baldi,1966.0,81.15130146389217,182.85466495043167,Italy
ad-wijnands,1959.0,63.93037674096036,175.1742643850789,Netherlands
yvan-haymoz,1975.0,73.9856035284451,185.44159720942713,Switzerland
antoine-demoitie,1990.0,69.0,180.0,Belgium
franco-vona,1964.0,61.77727798871233,171.26743007350254,Italy
pieter-mertens,1980.0,67.0,181.0,Belgium
asier-guenetxea,1970.0,69.08916058453232,176.39726490271974,Spain
milan-menten,1996.0,68.0,174.0,Belgium
laurence-pithie,2002.0,74.0,185.0,New Zealand
eric-de-clercq,1967.0,66.36876715084212,182.60995863684863,Belgium
mart-ojavee,1981.0,80.0,183.0,Estonia
giovanni-paolo-bottoia,1962.0,59.91381499030012,181.09687779229662,Italy
thomas-durst,1967.0,70.4889034928946,187.94893405267973,Germany
rene-koppert,1960.0,51.07606232258111,162.71571412303345,Netherlands
baden-cooke,1978.0,75.0,180.0,Australia
jose-luis-navarro,1962.0,70.19424150354135,176.09785679807158,Spain
maxim-belkov,1985.0,71.0,184.0,Russia
pedro-jimenez-villanueva,1974.0,69.53513366565603,183.40896318444942,Spain
angel-gomez-gomez,1981.0,68.0,183.0,Spain
andrea-peron-1,1971.0,70.0,183.0,Italy
jonas-rickaert,1994.0,88.0,187.0,Belgium
eric-baumann,1980.0,72.0,177.0,Germany
kevin-geniets,1997.0,73.0,193.0,Luxembourg
juan-carlos-martin,1967.0,66.04361130449294,173.3091711027841,Spain
eddy-beugels,1944.0,64.50800418938879,181.11473827953296,Netherlands
jacques-van-meer,1958.0,72.65925177940781,188.10714682514222,Netherlands
matthew-stephens,1970.0,64.0,182.0,Great Britain
loe-van-belle,2002.0,71.98198559378227,184.0,Netherlands
leonardo-scarselli,1975.0,67.0,180.0,Italy
maxime-mederel,1980.0,59.0,173.0,France
lukas-ruegg,1996.0,66.0,177.0,Switzerland
javier-etxarri-marin,1986.0,72.62660446284815,185.6797961029511,Spain
serge-vandaele,1952.0,74.79496287447847,181.63320175899443,Belgium
jasper-de-buyst,1993.0,72.0,179.0,Belgium
regis-ovion,1949.0,64.0,177.0,France
ethan-hayter,1998.0,69.0,180.0,Great Britain
sander-armee,1985.0,72.0,190.0,Belgium
james-whelan,1996.0,64.0,185.0,Australia
stefan-van-leeuwe,1963.0,74.96673734635726,178.5861789761416,Belgium
angelo-pagani,1988.0,68.0,176.0,Italy
marco-chagas,1956.0,66.27889328411109,177.483684210986,Portugal
luis-casas,1953.0,70.7801835651744,178.70455396765732,Spain
fernando-serrano-sanchez,1979.0,62.9937539803458,178.2396242379976,Spain
lars-wahlqvist,1964.0,73.21432365769547,179.07564940554207,Sweden
nathan-earle,1988.0,70.0,180.0,Australia
claudio-bartoli,1979.0,68.34681780891104,175.35516925606055,Italy
gianluigi-barsotelli,1965.0,56.25055233685467,173.07223797239303,Italy
bruno-zanoni,1952.0,69.72631962895268,181.81653881794114,Italy
tom-stamsnijder,1985.0,76.0,191.0,Netherlands
victor-hugo-pena,1974.0,65.0,178.0,Colombia
jaime-alberto-castaneda,1986.0,82.490779034328,197.03120098695518,Colombia
hector-guerra-garcia,1978.0,71.50964580715383,184.07294322667357,Spain
mario-beccia,1955.0,83.30909794419622,188.1979017126534,Italy
jan-valach,1973.0,75.0,194.0,Slovakia
adam-roberge,1997.0,72.0,194.0,Canada
humberto-contreras,1972.0,81.96883780403105,185.91033929289176,Colombia
asiat-saitov,1965.0,72.62592373157851,175.37711327404375,Russia
antonio-angulo,1992.0,67.0,175.0,Spain
justin-jules,1986.0,64.0,167.0,France
jan-polanc,1992.0,62.0,172.0,Slovenia
ciaran-power,1976.0,68.0,184.0,Ireland
jenthe-biermans,1995.0,78.0,184.0,Belgium
viktor-rjaksinski,1967.0,68.50561846360823,180.53474793743433,Ukraine
etienne-de-beule,1953.0,80.63131635906012,185.63691252456084,Belgium
hans-kanel2,1953.0,77.14978163841421,181.55199773057603,Switzerland
roberto-lozano,1977.0,86.88603942627347,194.6327451452449,Spain
sergey-klimov,1980.0,69.0,183.0,Russia
daniel-rossel,1960.0,67.32043307602892,181.70345107441727,Belgium
javier-murguialday,1962.0,58.0,164.0,Spain
wilson-alexander-marentes,1985.0,66.45976337879127,183.82991218265488,Colombia
rik-van-looy,1933.0,73.0,178.0,Belgium
jean-patrick-nazon,1977.0,74.0,182.0,France
marek-canecky,1988.0,72.0,187.0,Slovakia
stefan-kung,1993.0,83.0,193.0,Switzerland
mathew-hayman,1978.0,78.0,190.0,Australia
negasi-abreha,2000.0,67.92228949187805,186.0,Ethiopia
robin-chaigneau,1988.0,80.0,185.0,Netherlands
jean-jacques-henry,1967.0,71.28636272550614,184.53195533301374,France
davide-baldaccini,1998.0,56.660327195076974,176.0,Italy
laudelino-cubino,1963.0,81.38603786355552,192.0080607284443,Spain
joel-suter,1998.0,75.0,190.0,Switzerland
arnoud-van-groen,1983.0,69.0,183.0,Netherlands
youri-perunovski,1963.0,87.90468404568708,193.32505546707705,Russia
cesar-perez-padron,1973.0,61.30081976258851,181.588936762174,Spain
laurent-pillon,1964.0,65.05847726182367,179.7103576508474,France
kurt-steinmann,1962.0,75.41680552175875,191.43429418004095,Switzerland
damiano-caruso,1987.0,67.0,179.0,Italy
eric-jacques,1953.0,66.40353516844185,177.6913055311531,Belgium
lubos-lom,1965.0,67.56623822462694,183.65277605611485,Czech Republic
anthony-jullien,1998.0,72.0,178.0,France
johan-museeuw,1965.0,71.0,184.0,Belgium
massimo-donati,1967.0,75.0,186.0,Italy
eduardo-hernandez,1973.0,73.46243589367224,181.7519287930249,Spain
matthew-white,1974.0,72.0,181.0,Australia
luca-colnaghi,1999.0,63.0,171.0,Italy
anton-chantyr,1974.0,77.52173622629613,183.61933252712254,Russia
johnnie-walker,1987.0,63.0,178.0,Australia
elie-gesbert,1995.0,63.0,181.0,France
jerome-neuville,1975.0,85.0,192.0,France
eddy-merckx,1945.0,74.0,182.0,Belgium
manuele-boaro,1987.0,64.0,173.0,Italy
jose-luis-de-santos-arribas,1968.0,88.10746650360748,191.8226222750752,Spain
tobias-steinhauser,1972.0,72.0,188.0,Germany
joaquim-galera,1940.0,77.97933653118352,192.07438304632234,Spain
ruben-apers,1998.0,70.0,179.0,Belgium
yuriy-krivtsov,1979.0,72.0,178.0,Ukraine
peter-luttenberger,1972.0,60.0,173.0,Austria
juan-martin-zapatero-marcos,1964.0,69.50330817174262,177.76939599892023,Spain
stanislaw-aniolkowski,1997.0,68.0,181.0,Poland
rolf-haller,1957.0,78.04162390688485,188.6218970473947,Germany
carlos-muniz,1964.0,63.52617971043291,171.05708577926134,Spain
marco-tizza,1992.0,58.0,173.0,Italy
sam-bewley,1987.0,81.0,191.0,New Zealand
pier-andre-cote,1997.0,74.29152506492615,181.0,Canada
angel-de-las-heras,1957.0,61.95539261374581,166.033709299292,Spain
andre-massard,1957.0,76.54863202183118,191.94391864123412,Switzerland
fabien-patanchon,1983.0,69.0,179.0,France
devis-miorin,1976.0,68.06155861788073,174.74223965816998,Italy
enrique-alberto-aja,1960.0,59.07697910307169,169.6230774538033,Spain
adelino-teixeira,1954.0,69.29847705687165,183.76557853820995,Portugal
thierry-bourguignon,1962.0,72.0,185.0,France
giovanni-battaglin,1951.0,68.27374606841762,176.49336253460245,Italy
mark-mcnally,1989.0,72.0,186.0,Great Britain
victor-koretzky,1994.0,69.0,180.0,France
franco-mori,1944.0,60.20430363182637,172.15797549357828,Italy
alain-cigana,1950.0,83.9947370524786,193.73519466168045,France
matus-stocek,1999.0,80.0,190.0,Slovakia
oliverio-rincon-quintana,1968.0,75.46586537115685,186.7979783650247,Colombia
frank-pineau,1963.0,61.60804693079226,171.06142605519375,France
thibault-ferasse,1994.0,61.0,168.0,France
jean-marie-vernie,1960.0,73.37743310466817,189.84657419057316,Belgium
ben-tulett,2001.0,56.0,169.0,Great Britain
johann-lienhart,1960.0,66.0,173.0,Austria
theo-mertens,1941.0,64.7436308150115,173.45537472318216,Belgium
gerald-oberson,1954.0,63.28552494112884,181.99526630266257,Switzerland
martin-pedersen,1983.0,62.0,170.0,Denmark
innar-mandoja,1978.0,69.0,175.0,Estonia
matteo-spreafico,1993.0,69.0,184.0,Italy
fernando-torres,1978.0,67.14371480014624,178.92907637440675,Spain
cesare-cipollini,1958.0,68.97449991631694,179.02414286724064,Italy
warren-barguil,1991.0,61.0,183.0,France
john-dekeukelaere,1962.0,73.4936335667455,190.5228365986673,Belgium
