_url,birth_year,weight,height,nationality
julien-stassen,1988.0,66.0,182.0,Belgium
markus-hoelgaard,1994.0,74.0,188.0,Norway
enrique-martinez,1953.0,,,Spain
koen-vekemans,1966.0,,,Belgium
louis-pfenninger,1944.0,70.0,183.0,Switzerland
mirko-selvaggi,1985.0,73.0,195.0,Italy
dag-selander,1955.0,,,Norway
gianluca-pierobon,1967.0,,,Italy
zico-waeytens,1991.0,67.0,180.0,Belgium
twan-castelijns,1989.0,70.0,180.0,Netherlands
roberto-savoldi,1975.0,,,Italy
andre-peirsman,1948.0,,,Belgium
anass-ait-el-abdia,1993.0,66.0,180.0,Morocco
dino-bertolo,1953.0,,,France
mattia-gavazzi,1983.0,70.0,171.0,Italy
david-kopp,1979.0,68.0,184.0,Germany
simone-campagnari,1972.0,,,Italy
giairo-ermeti,1981.0,60.0,174.0,Italy
fernando-mendes,1946.0,,,Portugal
guillaume-boivin,1989.0,78.0,182.0,Canada
harry-steevens,1945.0,73.0,178.0,Netherlands
ruben-dario-beltran,1964.0,,,Colombia
paul-van-hyfte,1972.0,70.0,177.0,Belgium
aketza-pena,1981.0,,,Spain
tom-jelte-slagter,1989.0,57.0,169.0,Netherlands
frederik-rodenberg,1998.0,73.0,190.0,Denmark
fiorenzo-favero,1955.0,,,Italy
michael-van-staeyen,1988.0,62.0,167.0,Belgium
inaki-isasi-flores,1977.0,70.0,181.0,Spain
jens-mouris,1980.0,91.0,198.0,Netherlands
frans-verbeeck,1941.0,,,Belgium
dion-smith,1993.0,67.0,179.0,New Zealand
lennert-van-eetvelt,2001.0,63.0,176.0,Belgium
lars-boven,2001.0,62.0,172.0,Netherlands
jose-del-ramo,1960.0,,,Spain
christophe-laborie,1986.0,67.0,181.0,France
karl-maxon,1959.0,,,United States
diego-magoni,1955.0,,,Italy
dirk-friel,1970.0,,,United States
tobias-foss,1997.0,74.0,184.0,Norway
noel-vantyghem,1947.0,,,Belgium
tomas-konecny,1973.0,67.0,178.0,Czech Republic
daniel-summerhill,1989.0,70.0,185.0,United States
christian-dumont,1956.0,,,Belgium
ettore-badolato,1964.0,,,Italy
daniel-beelen,1966.0,,,Belgium
nicolas-vogondy,1977.0,62.0,172.0,France
david-gutierrez-palacios,1987.0,,,Spain
ben-zwiehoff,1994.0,61.0,182.0,Germany
bert-pronk,1950.0,,,Netherlands
wilfried-wesemael,1950.0,,,Belgium
ludo-frijns,1957.0,,,Belgium
oleg-iarochenko,1962.0,,,Russia
andrei-vedernikov,1959.0,,,Russia
